protein,ptms
Q5JS37,[]
Q9NYW1,[]
P61006,[]
Q9Y337,[]
Q8IZC6,"[00038:null,00039:null,00162:null]"
Q9GZQ8,[]
Q2VPK5,[]
Q9UBC9,[]
O14792,[]
Q12891,[]
P17213,[]
P10321,[]
P49895,[]
P62979,[]
O15235,[]
P05111,[]
O14974,[00046:473]
O15488,[00166:228]
Q01831,[01148:null]
Q14674,[]
P06899,[00064:21]
P02511,[]
P05164,[]
Q8WXH6,[00113:274]
Q9Y6X5,[]
P08572,"[00039:null,00162:null]"
P25940,"[00038:null,00039:null,01914:null]"
P02462,"[00038:null,00039:null,01914:null]"
Q8IUZ0,[]
Q8WZ94,[]
O60610,[]
Q9H6R3,[]
Q5VIR6,[]
P08151,"[00046:null,01148:null]"
Q9H4X1,[]
P68371,[]
Q5XKE5,[]
Q01546,[]
O60762,[]
P98066,[]
Q99595,[]
Q9ULV1,[]
Q9UJY5,[]
P58400,[]
P61204,[]
Q14241,[]
Q96EU7,[]
Q15788,[]
O43252,[]
O00203,[]
Q02790,[]
P11047,[00696:null]
Q6P4F2,[]
P61081,"[00058:1,00211:111]"
P42224-1,[]
P04275,[]
O75352,[]
Q01955,[]
P33778,[01148:121]
O60220,[]
Q8TEW0,[]
P49137,"[00046:272,00047:222,00047:334]"
Q71DI3,[00084:28]
Q9BUB5,"[00046:437,00047:250,00047:255,00047:385]"
O76062,[]
Q9NTM9,[]
O60658,[]
P20042,[]
O96008,[]
P15941,[]
Q07869,[]
Q8NGD1,[]
P08123,"[00037:null,00039:null,00130:null]"
Q13442,[]
P10644,[]
P63215,[]
Q96R09,[]
P12111,[]
P60880,[]
Q8NFZ4,[]
P49918,[00048:91]
P43268,[]
P14859,[]
Q9Y2J8,[]
P30519,[]
P04001,[]
Q5FYB0,[00835:122]
Q8IVI9,[]
Q6ZMP0,[00812:null]
A1L3X0,[]
P59861,[]
Q02641,[]
Q9UL26,[]
Q9NQ66,[]
Q5TZ20,[]
P07942,[]
P46976,[00166:195]
Q9BQT8,[]
P07988,[]
Q15836,[]
O95185,[]
Q9UGN4,[]
O95782,[]
P01834,[]
P01034,[]
Q8NG83,[]
O15072,[00812:null]
P47914,[]
Q14159,[]
P22607-2,"[00048:579,00048:649,00048:650,00048:726,00048:762,00048:772]"
O60911,[]
P40939,[]
Q14914,[]
Q9HBH0,[]
P04439,[]
O43451,[]
Q12791,[00046:1195]
P07550,[00046:null]
Q9UBR2,[00160:null]
P01782,[]
P60510,[]
Q9H2B4,[]
Q15822,[]
Q15717,[]
P05546,[]
Q9TQE0,[]
Q96RI8,[]
P08123,[00037:null]
Q9Y3C6,[]
P40337,[]
Q8NH90,[]
P19419,"[00046:324,00046:383,00046:389,00046:422,00047:336]"
A8TX70,"[00038:null,00039:null,01914:null]"
P02452,"[00037:null,00039:null]"
P42226,[00046:407]
Q02045,[]
Q92930,[]
O15244,[]
Q8NGA1,[]
P35609,[]
Q5T6S3,[]
Q5JV73,[]
Q92598,[]
P13942,"[00037:null,00039:null]"
P11498,[]
Q96K76,[]
Q14749,[]
P47755,[]
Q96BD6,[]
Q13467,[]
P09958,[]
P55809,[]
O60645,[]
Q17RW2,"[00038:null,00039:null]"
O95394,[]
Q8N5X7,[]
P40394,[]
Q17RW2,[00037:null]
P20292,[]
Q9NVH2,[]
O43639,[]
Q99460,[]
P52797,[]
O75056,[]
Q17RW2,[00039:null]
P00973,[]
P20036,[]
Q7Z569,[01148:null]
Q03154,[]
Q8N135,[]
Q99715,"[00039:null,00162:null]"
Q9Y6F9,"[00160:null,01381:228]"
Q9NZC2,[]
Q16777,[]
Q03692,"[00039:null,01914:null]"
P62820,[]
Q9H015,[]
Q9GZS3,[]
P59551,[]
Q99986,[]
Q8N441,[]
Q8NFJ9,[]
Q9P000,[]
Q9UH90,[]
P51580,[]
P25685,[]
P29590,"[01149:65,01149:160,01149:490]"
Q7Z6J8,[]
Q13795,[]
Q92831,[]
O95264,[]
P35222,"[00046:37,00046:45,00047:41]"
P25100,[]
Q8NDV7,[]
O76011,[]
A1L4H1,[]
Q14469,[]
P02461,"[00038:null,00039:null,01914:null]"
P06899,[]
P03951,[]
P08047,[]
P53708,[]
P08123,"[00037:null,00039:null]"
Q86W56,[]
P0CG48,[01148:33]
O00757,[]
Q7L9L4,"[00047:12,00047:35]"
P23284,[]
O43502,[]
O75355,[]
P47710,[00798:null]
O95861,[]
P51570,[]
P24468,[]
O75531,[]
Q7KZF4,"[00046:445,00046:602,00046:729,00047:599]"
P11362-1,[]
P63098,[]
Q96CJ1,[]
P17032,[]
P39059,[]
Q14019,[]
Q8IUG1,[]
O94778,[]
O95342,[]
Q9UJS0,[]
Q9UQP3,[]
P26232,[]
Q15303-3,[]
Q8N6F1,[]
P55055,"[01149:409,01149:447]"
O14672,[]
Q92539,[]
Q7Z4W1,[]
Q8N144,[]
P02679,[]
P57053,[]
P34949,[]
Q8N158,[00814:null]
O75643,[]
Q08397,[]
Q86Y22,[]
P02462,"[00037:null,00038:null,00039:null]"
Q14623,"[00160:282,00798:203]"
O95182,[]
P38936,[00048:77]
P08709,[]
Q9Y4G8,[]
Q8N9N5,[]
Q9UDY2,[]
Q14031,[00039:null]
Q9HCB6,[]
Q8NH73,[]
Q15329,[]
O76094,[]
Q02447,[]
P0CG48,[01148:367]
Q86U42,[]
Q8N697,[]
O43570,[]
P14598,[]
P02649,[00696:null]
P23743,[]
Q07890,[]
O00257,[01149:494]
Q6IB77,[]
P46531,[00046:null]
P31641,[]
Q96EV8,[]
Q01860,[]
P16190,[]
Q969T4,[00211:145]
Q9Y3Q3,[]
P60709,[]
Q8N4C8,[]
Q99715,[00037:null]
P01185,[]
P53420,"[00039:null,01914:null]"
Q92731,[]
Q9UBV4,"[00160:null,01381:227]"
Q6NUN9,[]
P82914,[]
Q9NP72,[]
P0C0P6,[]
Q9Y6V7,[]
P32019,[]
Q9UNU6,[]
Q9BUJ2,[]
O75147,[]
Q8N465,[]
P53992,[00696:null]
O14548,[]
Q9UBM1,[]
Q9GZK6,[]
Q5JT25,[]
Q9Y5Y9,[]
Q5JVS0,[]
P59998,[]
O75362,[]
Q12873,[]
Q14315,[]
O14802,[]
P39060,[00039:null]
Q8IWY4,[]
Q6ZUX7,[]
P12110,[00037:null]
O14508,[]
P01011,[]
Q9BWJ5,[]
P62837,[00211:85]
P21549,[]
Q96QI5,[]
P02462,"[00038:null,00039:null,00162:null]"
Q6ZSZ5,[]
Q8NHG7,[]
Q8NFP4,[00105:932]
P62979,[01148:11]
Q9H963,[]
Q7LGA3,[]
Q14654,[]
Q8TBP0,[]
O75223,[]
P84022,"[00046:423,00046:425,00300:50,00300:52]"
P02458,[01914:null]
O43561,"[00048:200,00048:220]"
P0CG48,[01148:48]
Q14055,"[00038:null,00039:null,00162:null]"
D6RA61,[]
P03372-4,[]
Q86VN1,[]
Q9BQB6,[]
P05186,[00105:502]
P30462,[]
P30486,[]
P0C629,[]
Q9ULB1,[]
P28472,[]
P50570,[]
P00533,"[00048:992,00048:1045,00048:1068,00048:1086,00048:1148,00048:1173,01631:750,01632:748,01636:749,01641:747,01647:751]"
Q96T76,[]
Q8WUM9,[]
P49810,[]
Q9UIQ6,[]
Q3SYC2,[]
Q06203,[]
A8MQ27,[]
O00221,[]
P05120,[]
Q02318,[]
P04049,[00046:621]
Q9Y2X7,[]
P11168,[]
P42695,[00047:1415]
Q96KK5,[00076:4]
P56945,"[00048:234,00048:249,00048:267,00048:287,00048:306,00048:327,00048:362,00048:372,00048:387,00048:410,00048:664,00048:666]"
O60896,[]
O60656,[]
P35498,[]
P48637,[]
A8TX70,[00039:null]
P41439,[]
Q5SYC1,[]
P56381,[]
Q7Z460,[]
Q8N1F7,[]
Q86T03,[]
Q15762,[]
P01242,[]
P50150,[]
Q9UKN5,[]
Q05397,"[00046:732,00048:397,00048:407,00048:576,00048:577,00048:861,00048:925]"
P02452,"[00038:null,00039:null,00130:null,01914:null]"
Q9Y4U1,[]
O43524,[]
P56282,[]
Q9BXI6,[]
Q9NSC7,[]
Q96AD5,[]
Q8NGK6,[]
Q12933,[01148:null]
P48547,[]
Q9UKF6,[]
P40938,[]
Q9HCJ1,[]
P78524,[]
Q13370,[00046:295]
P33908,[]
Q96H40,[]
P0CG47,[01148:200]
Q9BVL2-1,[]
Q9BXL7,[00046:552]
P51787,[]
P20671,[00078:12]
Q5TAT6,"[00038:null,00039:null,00162:null]"
Q8IY26,[]
Q96GD4,[01149:202]
Q6ZNE5,[]
Q9NX08,[]
Q4U2R8,[]
Q92637,[]
O75888,[00047:244]
P16070,[]
P42785,[]
Q9NY25,[]
P33992,[]
Q17RW2,"[00037:null,00039:null]"
P53420,"[00037:null,00038:null,00039:null]"
P0CG47,[01148:87]
Q02818,[00696:null]
Q9H6X2-2,[]
Q9NX09,[]
P48552,"[01149:756,01149:1154]"
P35226,[]
P18084,[]
O14815,[]
Q96K75,[]
P25815,[]
O43683,[]
Q9HAW0,[]
P48357-1,[]
P48507,[]
P05108,[]
Q9HAW4,[]
Q969V1,[]
P11802,[]
Q8WUX1,[]
Q9UQ80,[]
P14598,"[00046:303,00046:304,00046:320,00046:328,00046:345,00046:348]"
Q16518,[00069:112]
Q9NR71,[]
P53582,[]
Q9Y6W8-1,[00048:180]
Q00613,"[00046:303,00046:307]"
Q9Y3D0,[]
P46976,[00166:194]
P09496,[]
Q15349,[]
Q9UN19,[00048:139]
P56277,[]
P02545-1,[00046:395]
P35813,[]
P08670,[]
O14904,"[00160:null,01381:221]"
P24588,[]
Q9P218,"[00039:null,01914:null]"
Q9NUI1,[]
Q10469,[]
P0CG48,[01148:642]
Q9UD71,"[00046:102,00046:137,00047:34,00047:75]"
P04637,[01149:386]
P68431,[00083:10]
P04637,"[00046:15,00046:20,00046:392]"
O95393,[]
Q92945,[00046:193]
Q6NZY7,[]
Q6P161,[]
P34972,[]
Q99832,[]
Q9H981,[]
Q96IF1,[00046:null]
P31431,[00814:null]
Q9UI10,[]
P62807,[00064:16]
P10301,[]
Q9NR80,[]
P0CG48,[00134:304]
P0CG48,[01148:486]
Q5VV43,[]
Q6P0N0,[]
P02462,[]
Q7Z449,[]
P01286,[]
P34897,[]
P55318,[]
P31371,[]
Q969N2,[]
P48050,[]
Q96C10,[]
O75912,[]
Q9UD71,[00047:75]
Q8WWI5,[]
Q9UNS2,[]
P61225,[]
Q5VST9,[]
P12110,"[00039:null,01914:null]"
O75494,[]
P25067,"[00039:null,01914:null]"
P53667,"[00046:null,00047:508]"
O60431,[]
Q8NE22,[]
P43146,[]
Q9Y496,[]
O43295,[]
A8TX70,"[00039:null,00162:null]"
Q86WZ6,[]
Q07092,"[00038:null,00039:null,00162:null]"
O43909,[]
Q9UM47,"[00804:84,00804:125,00804:357,00804:437,00804:475,00804:513,00804:588,00804:626,00804:663,00804:740,00804:893,00804:968,00804:1128,00804:1252,00812:671,00812:863,00812:1136,00812:1349,00813:173,00813:211,00813:250,00813:290,00813:328,00813:445,00813:748,00813:938,00813:1098,00813:1181,00813:null]"
P12273,[]
Q71DI3,"[00047:12,00064:15,00064:19,00064:80]"
Q9UPW6,"[01149:233,01149:350]"
P78352,[]
Q9BYS1,[]
P60468,[]
P52803,[]
Q9BQ16,[]
Q16222,[]
O75347,[]
Q9P0N5,[]
Q11203,[]
P25021,[]
Q9BPX1,[]
Q9UM54,[]
Q93070,[00090:285]
Q9Y2Z9,[]
Q13619,[01150:705]
Q9UBB5,[]
O75385,"[00046:317,00046:467,00046:556,00046:638,00047:575]"
Q12841,[00696:null]
Q9P2K6,[]
O15078,[]
Q96P20,[]
P27658,[00162:null]
P35442,[00812:null]
P61278,[]
Q13950-2,[]
P61020,"[00113:212,00113:213]"
P23527,[01148:121]
Q17RW2,[]
P01111,[]
P01112,[]
O95477,"[00115:3,00115:23,00115:1110,00115:1111]"
P0C626,[]
Q147X3,[]
Q8WXI4,[]
P0CG48,[01148:671]
P55056,[]
Q9GZR5,[]
P15848,[01649:86]
Q9BSH3,[]
Q15768,"[00048:318,00048:323,00048:337]"
Q9UHD2,[00048:649]
P04637,[01148:null]
Q7RTY9,[00105:299]
Q8N687,[]
Q96LC9,[00696:null]
P06899,[00064:6]
P30622,[]
P36404,[]
O43491,[]
Q68CZ6,[]
O95772,[]
Q8N5D0,[]
Q04724,[01148:null]
Q14393,[]
Q99879,[00064:6]
P30304,[]
Q96L91,[]
P55289,[]
Q9UHE5,[]
Q16533,[]
P43004,[]
P26951,[]
O15105,[]
P80748,[]
P30626,[]
O95989,[]
O94855,[]
Q99558,[]
Q15723,[]
P02452,"[00039:null,00130:null]"
Q8NG31,[]
Q7Z6P3,[]
P56556,[]
P55327,[]
Q01362,"[00048:219,00048:225,00048:229]"
P01589,[]
P23515,[]
Q16777,[01148:120]
P30953,[]
Q6FI81,[]
P17516,[]
P49918,[]
Q9NT22,[]
Q5NV62,[]
O75594,[]
Q13547,[]
Q9Y253,"[01148:682,01148:686,01148:694,01148:709]"
P35232,[]
P50990,[]
P02461,"[00037:null,00038:null,00039:null]"
P11388,[01149:null]
O75582,[]
P08697,[]
P21802-1,"[00048:466,00048:586,00048:588,00048:656,00048:657,00048:733,00048:769,00048:779]"
Q9ULX9,[]
O75914,[]
Q16539,"[00047:180,00048:182]"
P62306,[]
P82650,[]
P38405,[]
Q8TBE1,[]
Q9H160,[]
O75582,"[00046:212,00046:360,00046:376,00047:581]"
P50748,[]
Q7Z7N9,[]
O95817,[]
Q7Z4K8,[]
Q99489,[]
Q02127,[]
Q08554,[]
Q9BTA9,[]
P0CG48,[01148:315]
Q8IYW5,[]
P20671,[00064:null]
Q7KZ85,[]
Q9P2N7,[]
Q8IVT5,[00046:311]
P01567,[]
Q9BWV1,[]
Q15052,[]
O14639,[]
P68431,"[00046:11,00047:12,00064:10,00064:15,00064:19]"
P02452,[00162:null]
Q9HCL3,[]
P55157,[]
P15289,[00835:69]
Q9UJU2,"[00046:166,00047:155]"
P55160,[]
Q99466,"[00804:481,00804:519,00804:557,00804:595,00804:697,00804:735,00804:974,00804:1052,00812:79,00812:210,00812:451,00812:603,00812:743,00812:1145,00813:40,00813:248,00813:290,00813:331,00813:369,00813:489,00813:705,00813:781,00813:820,00813:944,00813:982,00813:1060,00813:null]"
P41223,[]
P09601,[]
Q8NBJ4,[00696:null]
Q6FI13,[00077:4]
Q6ZQN7,[]
Q5VXI9,[]
Q9GZV9,[00164:178]
O00743,[]
Q86UP0,[]
P0CG48,[01148:163]
P01880,[]
Q9BUK0,"[00798:16,00798:26]"
O15350,[01148:null]
O75344,[]
Q16513,[]
P42025,[]
Q9BXS0,"[00037:null,00039:null]"
P27694,"[01149:449,01149:577]"
Q8NGX8,[]
P30443,[]
P06737,"[00046:15,00128:661]"
P52945,[]
P68431,[00076:3]
P02462,"[00038:null,00039:null]"
Q9H2D1,[]
Q6UX06,[]
Q9UGF6,[]
Q8NGN5,[]
Q9NV06,[]
Q99217,[00696:null]
O00167,[00696:null]
Q9BXR5,[]
O95006,[]
P10253,[]
Q00722,[]
Q15646,[]
Q96JA3,[]
A6NM76,[]
P59541,[]
Q15940,[]
Q9Y5P1,[]
Q30KQ8,[]
Q9NRZ7,[]
Q9HAV4,[]
O14656,[]
Q9UNM6,[]
P22392,[]
P31040,[]
Q8N2G4,[00105:117]
P14649,[00046:20]
P17036,[]
P61088,[00211:87]
P04908,[00078:4]
Q9Y5R8,[]
Q6KC79,[]
Q96DX8,[]
P07477,[]
P02545,"[00046:338,00046:494,00046:621,00047:491,00048:341]"
Q96RL1,[]
Q9UK32,"[00046:232,00046:372,00046:389,00047:581]"
Q15418,"[00046:363,00046:380,00047:573]"
O00204-2,[]
P15056,[00046:338]
P52597,[]
P08100,[01999:296]
Q14164,[00046:172]
Q71DI3,"[00046:11,00064:15,00064:19]"
P78381,[]
Q9UBF2,[]
P32247,[]
P10636,[]
P62714,[00048:307]
P14384,[00105:423]
P16066,[]
P62491,"[00113:212,00113:213]"
Q96NL6,[]
Q9UKU0,[]
O94808,[]
Q93098,[]
Q9Y694,[]
Q96D96,[]
Q96B01,[]
Q13398,[]
P0CG48,[01148:106]
P09693,"[00048:160,00048:171]"
P49815,[00046:1387]
P08729,[]
O95274,[00094:326]
O75044,[]
P30542,[]
Q8N688,[]
P0CG48,[01148:562]
Q8NGU1,[]
O14493,[]
Q31612,[]
P08833,[00696:null]
P10071,[00696:null]
O14949,[]
P32929,[]
Q9Y294,[]
Q14031,[01914:null]
Q9NS75,[]
Q8N4Z0,"[00113:103,00113:105]"
Q93079,[00064:13]
Q9H5J4,[]
A5PLK6,[]
P27658,"[00037:null,00039:null]"
Q96F86,[]
Q7Z4T8,[]
O14640,[]
P20849,"[00039:null,01914:null]"
Q8NGF6,[]
Q9NQS5,[]
P56817,"[00064:126,00064:275,00064:279,00064:285,00064:299,00064:300,00064:307]"
O00273,[]
Q92546,[]
Q99878,[00078:4]
P62987,[01148:11]
Q8NG85,[]
Q13905,[]
P12104,[]
O00148,[]
P25940,"[00039:null,00162:null]"
Q7Z794,[]
P05538,[]
Q8NGZ3,[]
P61962,[]
Q9NSB4,[]
O14829,[]
O15160,[]
P16619,[]
Q6P5R6,[]
Q14627,[]
O94856,[00048:1319]
P33151,[00046:665]
P13688,[]
Q96EU6,[]
Q9HAF1,[]
P07585,[00814:null]
Q9Y663,[]
P61619,[]
Q5TAH2,[]
Q9UPX8,[]
Q99640,[]
P12107,"[00039:null,00162:null]"
P36222,[]
Q7Z7H8,[]
O43181,[]
P02461,[01914:null]
P57054,[]
Q9Y6A5,[]
P39059,[00037:null]
Q92934,[00046:99]
Q5FYA8,[]
Q9H772,[]
O00238,[]
Q13907,[]
Q15973,[]
Q9BUT1,[]
P23025,[]
Q15365,[]
O75828,[]
P12643,[]
Q92570-2,[]
P0CG48,[01148:258]
P42224,[00048:701]
Q5TG30,[]
P31358,[00105:36]
Q8IVF7,[]
Q9H3H5,[]
Q9UPZ6,[00812:null]
P41279,[]
Q13547,"[01149:444,01149:476]"
P12236,[]
Q9NPD7,[00097:116]
P68431,[00077:3]
P35222,"[00046:45,00047:41]"
Q9NPD8,"[01148:91,01148:182]"
Q16552,[]
O60404,[]
P57053,[01148:121]
O75581,[]
P15924,[]
Q8IZF2,[]
Q6PIL0,[]
Q9NXF7,[]
Q14993,[00039:null]
Q96L50,[]
Q8IWL2,[]
P59922,[]
Q9NRM7,[]
P62987,[00134:76]
P20853,[]
Q93077,[00076:4]
Q9BY64,[]
P29322,[]
Q15672,[]
Q9H1E1,[]
P0CG47,[01148:139]
Q6Q0C0,[]
Q13568,[]
Q93034,[01150:724]
Q09472,"[00046:null,00047:null]"
Q9Y3R0,[]
P52657,[]
O95965,[]
P62714,[]
Q9ULR0,[]
P31946,[]
Q14246,[]
Q12982,[]
P01767,[]
O75192,[]
P08235-2,[]
Q9BZD2,[]
P26678,[00046:16]
P52948-3,"[00046:608,00046:612,00046:623,00046:839,00047:546,00047:553,00047:670]"
Q6IPM2,[]
P30556,[]
P00813,[]
Q9UMD9,"[00038:null,00039:null,00162:null]"
P30559,[]
Q16773,[00128:247]
P25024,[]
Q9UQE7,"[00064:105,00064:106]"
P43155,[]
Q96A83,[00039:null]
Q16763,[00211:95]
Q05707,"[00037:null,00039:null]"
Q96BH1,[]
O94826,[01148:null]
Q14055,"[00038:null,00039:null,01914:null]"
Q6GPH4,[]
P21217,[]
P55773-2,[]
O43541,[]
O75914,"[00046:154,00047:436]"
Q03393,[00046:19]
Q13555,[00047:287]
P10147,[]
Q15642,[]
Q8WUK0,[]
P80162,[]
P82664,[]
Q96LB8,[]
P58294,[]
P01584,[]
Q96T21,[]
P02652,[]
P01709,[]
O60216,[00046:454]
P22732,[]
P46060,[]
Q5TAT6,[00162:null]
Q02543,[]
O00763,"[00046:79,00126:929]"
Q13795,[00058:1]
Q15022,[01149:75]
Q15286,[]
Q9ULC3,[]
P30279,[]
P68431,[00047:12]
P04626,[00048:877]
P05997,[]
P11464,[]
Q6ZNB7,[]
Q99640,[00696:null]
Q3SXZ3,[]
Q99873,[]
Q3SXZ7,[]
P01009,[00696:null]
Q03405,[]
P51671,[]
Q5VZ89,[]
Q9H6H4,[]
Q6P1L6,[]
O75143,[]
Q96CN9,[]
Q8IUE6,[00064:null]
P21802,"[00048:466,00048:586,00048:588,00048:656,00048:657,00048:733]"
Q7L5Y6,[]
Q99715,[00162:null]
Q9Y3M2,[00046:20]
Q8TAE8,[]
Q13422-1,[]
P08708,[]
Q96RI1,[]
A6NK53,[]
P48740,[]
P09874,[]
Q86UN2,[00105:420]
P09471,[]
Q86UL3,[]
Q9BTW9,[]
O43280,[00171:556]
P16234,[]
P15814,[]
Q9HAW4,"[00046:945,00047:916]"
P25774,[]
O75094,[]
P05771,[00047:500]
O60830,[]
P00736,[]
Q8N3T1,[]
P10451,[]
Q9GZT5,[]
Q5JSL3,[]
Q9C0J9,[]
Q9NZP0,[]
P41743,[]
P20849,"[00037:null,00038:null,00039:null]"
Q9BXN2,[]
Q5QNW6,[00064:13]
P68431,"[00046:11,00064:10,00064:15]"
Q9NWV8,[]
O43715,[]
P05121,[]
P34998,[]
P11488,[]
O15342,[]
Q14693,[]
Q13639,[]
Q9NUQ9,[]
Q99983,[00831:null]
Q8TE60,[]
Q9NRY4,[00048:1105]
P24928,[00046:null]
P36897,"[00046:165,00046:187,00046:189,00046:191,00047:185,00047:186]"
Q9NQS3,[]
Q9Y5L2,[]
Q9BYV1,[00128:350]
P84243,"[00077:3,00084:5]"
Q6NZY7,[00696:null]
Q9UHW9,[]
Q6KB66,[]
P04049,"[00046:259,00046:621]"
P48788,[]
Q9NZ71,[]
Q76N89,[]
P08123,[00039:null]
P49427,[]
Q15004,"[01148:15,01148:24]"
P54750,[]
P01106,[]
Q8TF74,[]
P30988,[]
P62857,[]
P04070,"[00036:113,00041:49,00041:56,00041:58,00041:61,00041:62,00041:67,00041:68,00041:71]"
P01766,[]
O60841,[]
Q9Y6I3,[]
Q96LC7,[]
Q8WXS5,[]
Q7L0Y3,[]
O95786,[]
P23760,[]
Q8NEB5,[]
Q8NHH1,[]
P61254,[]
Q969H0-4,[]
Q460N5,[]
Q8TDQ1,[]
P24592,[]
O75629,[]
Q92794,[00047:369]
P35568,[00048:null]
P09238,[]
P50281,[]
Q9C0E4,[]
Q8N8N0,[]
Q13103,[00696:null]
P51571,[]
O75496,[]
Q9UIF9,[]
P04920,[]
Q7Z628,[]
Q5H9S7,[]
P00797,[]
Q99819,[]
Q9UGJ0,[]
P25067,"[00037:null,00038:null,00039:null]"
P22897,[]
Q9H013,[]
P29350,[]
P25054,[]
P26583,[]
P51965,[]
O43293,[]
Q96A29,[]
P34810,[]
Q07092,"[00038:null,00039:null]"
Q8TCG2,[]
O14544,[]
Q99871,[]
Q07092,"[00037:null,00038:null,00039:null]"
P0CG48,[01148:391]
Q8IW41,[]
Q9BV94,[]
Q14974,[]
Q9UIW2,[00048:null]
Q9H339,[]
P21583-1,[]
P23490,[]
O95399,[]
P37840,[]
O15054,[]
Q5ST30,[]
P10451,[00696:null]
P42224-1,"[00046:727,00048:701]"
Q14683,[]
P31785,[00048:null]
P02545,[]
P31949,[]
Q9UMD9,"[00038:null,00039:null,01914:null]"
Q9NWT8,[]
Q9HCM2,[00048:null]
Q9UMD9,[00039:null]
P25940,"[00037:null,00039:null]"
Q13487,[]
Q8NGZ9,[]
Q92953,[]
P11912,"[00048:188,00048:199]"
P0C869,[]
P0C7M7,[]
Q9H6Q4,[]
Q01449,[]
Q05707,[00039:null]
Q9P0G3,[]
P01854,[]
Q8WTT0,[]
Q96NY8,[]
Q9NWF4,[]
P30307,"[00046:122,00046:168,00046:214,00047:48,00047:67,00047:130]"
O60573,[]
P41208,[01149:null]
Q9Y6M7,[]
O00626,[]
P04196,[]
P30504,[]
P20020,[]
P53420,"[00039:null,00162:null]"
P29122,[]
P31997,[]
P0CG48,[01148:239]
P63104,[]
Q9NUP7,[]
P11712,[]
A0M8Q6,[]
O15511,[]
P01602,[]
Q7LG56,[]
P61026,[]
P17858,[]
Q13242,[]
Q3KNW5,[]
Q9P2U8,[]
P01130,[]
Q96IJ6,[]
P46531,"[00812:883,00812:921,00813:73,00813:116,00813:232,00813:311,00813:349,00813:466,00813:617,00813:692,00813:767,00813:805,00813:997,00813:1035,00813:1159,00813:1197,00813:1243,00813:1362,00813:1402]"
Q96P16,[]
Q8N726,[]
P46952,[]
Q96E52,[]
Q8IYD1,[]
O95644,"[00046:175,00046:176,00046:178,00046:179,00046:181,00046:233,00046:237,00046:241,00046:257,00046:278,00046:286,00046:290]"
Q8NES3,[]
Q86TH1,[00812:null]
O95166,[]
Q9UMX1,[]
Q14694,[]
P17096,[]
Q96JJ7,[]
Q9UPT5,[]
P21333,[00046:2152]
O94856,[]
Q8IZC6,"[00037:null,00039:null]"
Q00610-1,[]
Q9Y243,[]
Q6IQ55,[]
Q9UNK4,[]
Q99578,[]
Q96KE9,[]
O95954,[]
P08572,"[00037:null,00038:null,00039:null]"
P10620,[]
P58182,[]
Q9H8W5,[]
O60353,[]
Q96AX2,"[00113:219,00113:220]"
Q6ZMH5,[]
Q96JA1,[01148:null]
Q8TE02,[]
P18509,[]
Q00975,[]
Q5TA78,[]
O95295,[]
Q8NH03,[]
Q3KRB8,[]
Q8TE56,[00812:null]
O95741,[]
Q07325,[]
A8MPY1,[]
Q16566,"[00046:12,00046:13]"
P48546,[]
Q9P2W3,[]
P32004,[00046:1181]
Q8N163,[00047:454]
O95461,[]
Q9UBU9,[]
P40189,[]
P17302,[]
Q9UJW0,[]
Q99878,[00077:4]
Q13546,[01148:377]
Q9NQR9,[]
Q96A08,[00064:null]
Q9NYW3,[]
P04637,"[00046:15,00046:20,00064:120]"
P0CG48,[00134:380]
P08621,[]
Q9HD26,[]
Q9UL12,[]
Q5TYW1,[]
Q13316,[00696:null]
Q8NGP3,[]
P12109,"[00038:null,00039:null,00162:null]"
O14618,[00798:141]
Q9Y6D9,[]
P47944,[]
Q96T91,[]
Q8NGY5,[]
Q2UY09,"[00038:null,00039:null]"
Q9P218,"[00038:null,00039:null,00162:null]"
Q16512,[00047:774]
P0DJD8,[]
P10916,[]
Q9HBG6,[]
O14718,[]
Q16718,[]
P62745,[]
P06881,[]
Q15014,[]
Q8TBG4,[]
Q8N7Q3,[]
Q99259,[]
P04350,[]
A6NMZ7,"[00038:null,00039:null,00162:null]"
P01817,[]
Q9Y224,[]
Q8NGB4,[]
Q13202,[]
P11678,[]
P38117,"[00083:200,00083:203]"
P14410,[]
Q13546,[01148:null]
Q15843,[]
Q9Y4K0,[]
Q9Y4K3,[01148:124]
Q9Y3P9,[]
Q5FYB1,[]
Q14515,[]
Q14050,[00037:null]
P50213,[]
P30872,[]
P50542-2,[]
P08134,[]
O94925,[]
Q9Y3N9,[]
Q06210,[]
Q8TD20,[]
P60520,[]
Q76LX8,[00812:null]
Q5TEC3,[]
Q8TD43,[]
O75934,[]
Q13748,[00064:40]
P20839,[]
P78346,[]
Q86X83,[]
Q8NHM5,[]
Q68DY9,[]
Q9BTE7,[]
P0DI81,[]
P21506,[]
P55010,[]
O75578,[]
P52739,[01149:601]
Q6A163,[]
Q30154,[]
Q969G3,[]
P12109,"[00037:null,00039:null]"
Q9BTC8,[]
Q86Y22,"[00038:null,00039:null,00162:null]"
Q9Y3T9,[]
P35573,[]
P04075,[]
P15104,[]
Q8TAC2,[]
P0DPD6,[]
P16401,[]
O60493,[]
Q13011,[]
P41091,[]
Q86Y38,[]
P06702,[]
Q4KMG0,[]
Q8IZC7,[]
P23771,[01148:null]
Q9UNP4,[]
O94933,[]
Q9UKM7,[]
Q7Z6E9,[]
Q96EC8,[]
O60674,[00696:null]
Q01780,[]
P29033,[]
