UniProtKB:A0A075B6P5,20-120
UniProtKB:P10745,18-1247
UniProtKB:P10746,1-265
UniProtKB:P10747,19-220
UniProtKB:P10747,19-220,Tyr-191,MOD:00048
UniProtKB:P10767,38-208
UniProtKB:P10768,2-282
UniProtKB:P10809,1-26
UniProtKB:P10809,1-573
UniProtKB:P10809,27-573
UniProtKB:P10826,1-455
UniProtKB:P10827,1-490
UniProtKB:P10828,1-461
UniProtKB:P10909,23-227
UniProtKB:P10909,23-449
UniProtKB:P10909,228-449
UniProtKB:P10911,1-925
UniProtKB:P10912,19-256
UniProtKB:P10912,19-638,Tyr-332/Tyr-487/Tyr-534/Tyr-566/Tyr-627,MOD:00048
UniProtKB:P10912,19-638
UniProtKB:P10912,19-638,Tyr-332/Tyr-487/Tyr-627,MOD:00048
UniProtKB:P10912,257-638
UniProtKB:P10914,1-325
UniProtKB:P10915,16-354
UniProtKB:P10916,2-166
UniProtKB:P10966,22-210
UniProtKB:P10997,1-828
UniProtKB:P10997,34-70
UniProtKB:P11021,19-654
UniProtKB:P11047,34-1609
UniProtKB:P11047,34-1609,XXX-null,MOD:00696
UniProtKB:P11055,1-1940
UniProtKB:P11086,1-282
UniProtKB:P11142,2-646
UniProtKB:P11142,2-646,Lys-561,MOD:00083
UniProtKB:P11150,23-499
UniProtKB:P11161,1-476
UniProtKB:P11166,1-492
UniProtKB:P11168,1-73
UniProtKB:P11168,1-524
UniProtKB:P11169,1-496
UniProtKB:P11171,1-864
UniProtKB:P11172,2-480
UniProtKB:P11177,31-359
UniProtKB:P11182,62-482
UniProtKB:P11182,62-482,XXX-44,MOD:00127
UniProtKB:P11215,17-1152
UniProtKB:P11216,2-843,XXX-681,MOD:00128
UniProtKB:P11216,2-843,Ser-14,MOD:00046|XXX-681,MOD:00128
UniProtKB:P11217,2-842,XXX-681,MOD:00128
UniProtKB:P11217,2-842,Ser-15,MOD:00046|XXX-681,MOD:00128
UniProtKB:P11226,21-248
UniProtKB:P11229,1-460
UniProtKB:P11233,1-203
UniProtKB:P11234,1-203
UniProtKB:P11245,1-290
UniProtKB:P11245,1-290,XXX-68,MOD:00065
UniProtKB:P11274,1-584
UniProtKB:P11274,1-584,Tyr-null/Tyr-177/Tyr-766,MOD:00048
UniProtKB:P11274,1-584,Tyr-null/Tyr-766,MOD:00048
UniProtKB:P11274,1-1271
UniProtKB:P11277,2-2137
UniProtKB:P11279,29-417
UniProtKB:P11309,1-404
UniProtKB:P11310,26-421
UniProtKB:P11362,22-763,Tyr-463/Tyr-583/Tyr-585/Tyr-653/Tyr-654/Tyr-730,MOD:00048
UniProtKB:P11362,22-763
UniProtKB:P11362,22-822
UniProtKB:P11362,22-822,Tyr-463/Tyr-583/Tyr-585/Tyr-653/Tyr-654/Tyr-730/Tyr-766/Tyr-776,MOD:00048
UniProtKB:P11362-1,22-822,Tyr-463/Tyr-583/Tyr-585/Tyr-653/Tyr-654/Tyr-730/Tyr-766/Tyr-776,MOD:00048
UniProtKB:P11362-1,22-822
UniProtKB:P11362-19,2-822
UniProtKB:P11362-19,2-822,Tyr-463/Tyr-583/Tyr-585/Tyr-653/Tyr-654/Tyr-730/Tyr-766/Tyr-776,MOD:00048
UniProtKB:P11387,2-765,Lys-117,MOD:01149
UniProtKB:P11387,2-765
UniProtKB:P11388,1-1531,Lys-null,MOD:01149
UniProtKB:P11388,1-1531
UniProtKB:P11413,2-515
UniProtKB:P11464,35-419
UniProtKB:P11465,35-335
UniProtKB:P11473,1-427
UniProtKB:P11474,1-423
UniProtKB:P11487,18-239
UniProtKB:P11488,1-350
UniProtKB:P11488,2-350,XXX-2,MOD:00503
UniProtKB:P11488,2-350
UniProtKB:P11488,2-350,XXX-2,MOD:00908
UniProtKB:P11488,2-350,XXX-2,MOD:00068
UniProtKB:P11488,2-350,XXX-2,MOD:00504
UniProtKB:P11498,21-1178,XXX-1144,MOD:00126
UniProtKB:P11498,21-1178
UniProtKB:P11509,1-494
UniProtKB:P11511,1-503
UniProtKB:P11532,1-3685
UniProtKB:P11586,2-935
UniProtKB:P11597,18-493
UniProtKB:P11678,140-250
UniProtKB:P11686,24-58
UniProtKB:P11686,24-197
UniProtKB:P11686,59-197
UniProtKB:P11712,1-490
UniProtKB:P11717,41-2491
UniProtKB:P11766,2-374
UniProtKB:P11802,2-303
UniProtKB:P11802,2-303,Thr-172,MOD:00047
UniProtKB:P11831,1-508
UniProtKB:P11908,2-318
UniProtKB:P11912,33-226,Tyr-188/Tyr-199,MOD:00048
UniProtKB:P11912,33-226
UniProtKB:P11926,1-461,XXX-69,MOD:00128
UniProtKB:P11940,1-636
UniProtKB:P12004,1-261,XXX-164/XXX-168,MOD:00134
UniProtKB:P12004,1-261,Lys-164,MOD:01148
UniProtKB:P12004,1-261
UniProtKB:P12004,1-261,Lys-null/Lys-164/Lys-254,MOD:01149
UniProtKB:P12018,20-145
UniProtKB:P12034-1,18-268
UniProtKB:P12035,2-628
UniProtKB:P12074,25-109
UniProtKB:P12081,2-509
UniProtKB:P12104,2-132
UniProtKB:P12107,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,Lys-null,MOD:00162
UniProtKB:P12107,Lys-null,MOD:00037
UniProtKB:P12107,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12107
UniProtKB:P12107,Lys-null,MOD:01914
UniProtKB:P12107,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,Pro-null,MOD:00039
UniProtKB:P12107,36-1806,Lys-null,MOD:01914
UniProtKB:P12107,36-1806,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,36-1806,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,36-1806
UniProtKB:P12107,36-1806,Pro-null,MOD:00039
UniProtKB:P12107,36-1806,Lys-null,MOD:00037
UniProtKB:P12107,36-1806,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,36-1806,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,36-1806,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,36-1806,Lys-null,MOD:00162
UniProtKB:P12107,36-1806,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12107,36-1806,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,512-1563,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12107,512-1563,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,512-1563,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,512-1563,Lys-null,MOD:00037
UniProtKB:P12107,512-1563
UniProtKB:P12107,512-1563,Pro-null,MOD:00039
UniProtKB:P12107,512-1563,Lys-null,MOD:01914
UniProtKB:P12107,512-1563,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,512-1563,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,512-1563,Lys-null,MOD:00162
UniProtKB:P12107,512-1563,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,512-1563,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,512-1806,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,512-1806
UniProtKB:P12107,512-1806,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,512-1806,Lys-null,MOD:01914
UniProtKB:P12107,512-1806,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12107,512-1806,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12107,512-1806,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,512-1806,Lys-null,MOD:00162
UniProtKB:P12107,512-1806,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12107,512-1806,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12107,512-1806,Pro-null,MOD:00039
UniProtKB:P12107,512-1806,Lys-null,MOD:00037
UniProtKB:P12109,?-1028,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12109,?-1028,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12109,?-1028,Lys-null,MOD:00037
UniProtKB:P12109,?-1028,Pro-null,MOD:00039
UniProtKB:P12109,?-1028,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12109,?-1028,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12109,?-1028,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12109,?-1028,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12109,?-1028,Lys-null,MOD:00162
UniProtKB:P12109,?-1028,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12109,?-1028,Lys-null,MOD:01914
UniProtKB:P12109,?-1028
UniProtKB:P12109,20-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12109,20-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12109,20-?
UniProtKB:P12109,20-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12109,20-?,Lys-null,MOD:01914
UniProtKB:P12109,20-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12109,20-?,Lys-null,MOD:00037
UniProtKB:P12109,20-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12109,20-?,Pro-null,MOD:00039
UniProtKB:P12109,20-?,Lys-null,MOD:00162
UniProtKB:P12109,20-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12109,20-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12109,20-1028
UniProtKB:P12109,20-1028,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12109,20-1028,Lys-null,MOD:01914
UniProtKB:P12109,20-1028,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12109,20-1028,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12109,20-1028,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12109,20-1028,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12109,20-1028,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12109,20-1028,Pro-null,MOD:00039
UniProtKB:P12109,20-1028,Lys-null,MOD:00037
UniProtKB:P12109,20-1028,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12109,20-1028,Lys-null,MOD:00162
UniProtKB:P12110,?-1019,Lys-null,MOD:00162
UniProtKB:P12110,?-1019,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12110,?-1019,Lys-null,MOD:00037
UniProtKB:P12110,?-1019,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12110,?-1019,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12110,?-1019,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12110,?-1019,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12110,?-1019,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12110,?-1019
UniProtKB:P12110,?-1019,Lys-null,MOD:01914
UniProtKB:P12110,?-1019,Pro-null,MOD:00039
UniProtKB:P12110,?-1019,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12110,21-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12110,21-?
UniProtKB:P12110,21-?,Pro-null,MOD:00039
UniProtKB:P12110,21-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12110,21-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12110,21-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12110,21-?,Lys-null,MOD:00162
UniProtKB:P12110,21-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12110,21-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12110,21-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12110,21-?,Lys-null,MOD:00037
UniProtKB:P12110,21-?,Lys-null,MOD:01914
UniProtKB:P12110,21-1019,Pro-null,MOD:00039
UniProtKB:P12110,21-1019,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12110,21-1019,Lys-null,MOD:00037
UniProtKB:P12110,21-1019,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12110,21-1019,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12110,21-1019,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12110,21-1019,Lys-null,MOD:01914
UniProtKB:P12110,21-1019
UniProtKB:P12110,21-1019,Lys-null,MOD:00162
UniProtKB:P12110,21-1019,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12110,21-1019,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12110,21-1019,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12110,257-1019,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12111,?-3176,Pro-null,MOD:00039
UniProtKB:P12111,?-3176,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12111,?-3176,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12111,?-3176,Lys-null,MOD:00037
UniProtKB:P12111,?-3176,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12111,?-3176
UniProtKB:P12111,?-3176,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12111,?-3176,Lys-null,MOD:00162
UniProtKB:P12111,?-3176,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12111,?-3176,Lys-null,MOD:01914
UniProtKB:P12111,?-3176,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12111,?-3176,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12111,26-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12111,26-?
UniProtKB:P12111,26-?,Pro-null,MOD:00039
UniProtKB:P12111,26-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12111,26-?,Lys-null,MOD:01914
UniProtKB:P12111,26-?,Lys-null,MOD:00162
UniProtKB:P12111,26-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12111,26-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12111,26-?,Lys-null,MOD:00037
UniProtKB:P12111,26-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12111,26-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12111,26-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12111,26-3176,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12111,26-3176,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P12111,26-3176,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12111,26-3176,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12111,26-3176,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P12111,26-3176,Pro-null,MOD:00039
UniProtKB:P12111,26-3176,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P12111,26-3176,Lys-null,MOD:00037
UniProtKB:P12111,26-3176
UniProtKB:P12111,26-3176,Lys-null,MOD:00162
UniProtKB:P12111,26-3176,Lys-null,MOD:01914
UniProtKB:P12111,26-3176,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P12235,2-298
UniProtKB:P12236,2-298
UniProtKB:P12259,29-334
UniProtKB:P12259,29-534
UniProtKB:P12259,29-737
UniProtKB:P12259,29-2224
UniProtKB:P12259,29-2224,XXX-null,MOD:00696
UniProtKB:P12259,335-534
UniProtKB:P12259,535-737
UniProtKB:P12259,738-1573
UniProtKB:P12259,1574-2224
UniProtKB:P12268,2-514
UniProtKB:P12270,2-2363
UniProtKB:P12271,2-317
UniProtKB:P12272,37-177
UniProtKB:P12273,29-146
UniProtKB:P12277,2-381
UniProtKB:P12314,16-374
UniProtKB:P12318,34-317
UniProtKB:P12318,34-317,Tyr-288/Tyr-304,MOD:00048
UniProtKB:P12319,26-257
UniProtKB:P12532,40-417
UniProtKB:P12643,24-396
UniProtKB:P12643,283-396
UniProtKB:P12644,20-408
UniProtKB:P12644,293-408
UniProtKB:P12644,293-408,XXX-null,MOD:00696
UniProtKB:P12694,46-445
UniProtKB:P12724,28-160
UniProtKB:P12755,1-728
UniProtKB:P12757,1-684
UniProtKB:P12814,1-892
UniProtKB:P12821,30-1232
UniProtKB:P12821,30-1306
UniProtKB:P12829,2-197
UniProtKB:P12830,155-700
UniProtKB:P12830,155-750
UniProtKB:P12830,155-882
UniProtKB:P12830,155-882,Tyr-753/Tyr-754,MOD:00048
UniProtKB:P12830,155-882,Tyr-753/Tyr-754,MOD:00048|Lys-null,MOD:01148
UniProtKB:P12830,701-882
UniProtKB:P12830,732-882
UniProtKB:P12830,751-882
UniProtKB:P12838,1-96
UniProtKB:P12838,20-63
UniProtKB:P12838,20-96
UniProtKB:P12838,64-96
UniProtKB:P12872,26-47
UniProtKB:P12882,1-1939
UniProtKB:P12883,1-1935
UniProtKB:P12931,2-536,Tyr-419,MOD:00048|XXX-2,MOD:00068
UniProtKB:P12931,2-536,Tyr-419,MOD:00048
UniProtKB:P12931,2-536,XXX-2,MOD:00068
UniProtKB:P12931-1,2-536,Tyr-419,MOD:00048
UniProtKB:P12931-1,2-536,Tyr-530,MOD:00048
UniProtKB:P12931-1,2-536
UniProtKB:P12931-2,2-536
UniProtKB:P12956,2-609
UniProtKB:P13010,2-732
UniProtKB:P13051-1,1-313
UniProtKB:P13056,1-603
UniProtKB:P13073,23-169
UniProtKB:P13164,1-125
UniProtKB:P13196,57-640
UniProtKB:P13196,57-640,XXX-null,MOD:00128
UniProtKB:P13224,27-206
UniProtKB:P13232,26-177
UniProtKB:P13236,24-92
UniProtKB:P13284,58-232
UniProtKB:P13349,1-255
UniProtKB:P13385,31-188,XXX-150,MOD:00168
UniProtKB:P13473,29-410
UniProtKB:P13497,121-986
UniProtKB:P13497-3,121-986
UniProtKB:P13498,2-195
UniProtKB:P13500,24-99
UniProtKB:P13501,24-91
UniProtKB:P13521,31-617,XXX-null,MOD:00696
UniProtKB:P13521,31-617
UniProtKB:P13533,1-1939
UniProtKB:P13535,1-1937
UniProtKB:P13569,1-1480,Lys-null,MOD:01148
UniProtKB:P13569,1-1480
UniProtKB:P13584,2-511
UniProtKB:P13591,20-858,XXX-222/XXX-315/XXX-347/XXX-433/XXX-459/XXX-488,MOD:00506
UniProtKB:P13591,20-858
UniProtKB:P13598,25-275
UniProtKB:P13611,21-3396
UniProtKB:P13611,21-3396,XXX-null,MOD:00814
UniProtKB:P13611,21-3396,XXX-null,MOD:00696
UniProtKB:P13612,34-1032
UniProtKB:P13631,1-454
UniProtKB:P13637,1-1013
UniProtKB:P13639,2-858
UniProtKB:P13639,2-858,XXX-715,MOD:00049
UniProtKB:P13639,2-858,XXX-715,MOD:00909
UniProtKB:P13639,2-858,XXX-715,MOD:00049|Lys-525,MOD:00083
UniProtKB:P13639,2-858,XXX-715,MOD:01145
UniProtKB:P13640,1-62
UniProtKB:P13645,1-584
UniProtKB:P13646,1-458
UniProtKB:P13647,1-590
UniProtKB:P13671,22-934
UniProtKB:P13674,18-534
UniProtKB:P13686,22-325
UniProtKB:P13688,35-526
UniProtKB:P13716,1-330
UniProtKB:P13725,26-220
UniProtKB:P13726,33-295
UniProtKB:P13726,33-295,XXX-277,MOD:00115
UniProtKB:P13727,17-222
UniProtKB:P13746,25-365
UniProtKB:P13747,22-358
UniProtKB:P13760,30-266
UniProtKB:P13761,30-266
UniProtKB:P13762,30-266
UniProtKB:P13765,27-273
UniProtKB:P13796,1-627
UniProtKB:P13798,1-732
UniProtKB:P13804,1-?
UniProtKB:P13805,1-278
UniProtKB:P13807,1-737,Ser-null,MOD:00046
UniProtKB:P13807,2-461
UniProtKB:P13807,2-737
UniProtKB:P13861,2-404
UniProtKB:P13866,1-664
UniProtKB:P13929,2-434
UniProtKB:P13942
UniProtKB:P13942,Lys-null,MOD:01914
UniProtKB:P13942,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13942,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13942,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,Lys-null,MOD:00037
UniProtKB:P13942,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P13942,Pro-null,MOD:00039
UniProtKB:P13942,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,Lys-null,MOD:00162
UniProtKB:P13942,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,?-1500,Lys-null,MOD:00162
UniProtKB:P13942,?-1500,Lys-null,MOD:00037
UniProtKB:P13942,?-1500,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13942,?-1500,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,?-1500,Lys-null,MOD:01914
UniProtKB:P13942,?-1500,Pro-null,MOD:00039
UniProtKB:P13942,?-1500,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,?-1500,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,?-1500
UniProtKB:P13942,?-1500,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,?-1500,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13942,?-1500,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P13942,?-1736,Lys-null,MOD:00037
UniProtKB:P13942,?-1736,Pro-null,MOD:00039
UniProtKB:P13942,?-1736,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,?-1736,Lys-null,MOD:01914
UniProtKB:P13942,?-1736,Lys-null,MOD:00162
UniProtKB:P13942,?-1736,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,?-1736,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,?-1736,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13942,?-1736,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P13942,?-1736
UniProtKB:P13942,?-1736,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13942,?-1736,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,28-1736,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,28-1736,Lys-null,MOD:00037
UniProtKB:P13942,28-1736,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,28-1736,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P13942,28-1736,Lys-null,MOD:01914
UniProtKB:P13942,28-1736,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P13942,28-1736,Lys-null,MOD:00162
UniProtKB:P13942,28-1736,Pro-null,MOD:00039
UniProtKB:P13942,28-1736,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P13942,28-1736,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13942,28-1736
UniProtKB:P13942,28-1736,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P13945,1-408
UniProtKB:P13984,2-249
UniProtKB:P13987,26-102,XXX-102,MOD:00818
UniProtKB:P13987,26-102
UniProtKB:P13995,36-350
UniProtKB:P14060,2-373
UniProtKB:P14061,2-328
UniProtKB:P14091,54-401
UniProtKB:P14136,1-432
UniProtKB:P14138,97-117
UniProtKB:P14138,97-238
UniProtKB:P14138,118-238
UniProtKB:P14151,39-372
UniProtKB:P14174,2-115
UniProtKB:P14207,17-230
UniProtKB:P14207,17-230,Asn-230,MOD:00092
UniProtKB:P14209,23-185
UniProtKB:P14210,32-494
UniProtKB:P14210,32-728
UniProtKB:P14210,495-728
UniProtKB:P14314,15-528,XXX-null,MOD:00696
UniProtKB:P14314,15-528
UniProtKB:P14316,1-349
UniProtKB:P14324,1-419
UniProtKB:P14373,1-513
UniProtKB:P14384,18-423,XXX-423,MOD:00105
UniProtKB:P14410,1-1006
UniProtKB:P14410,1007-1826
UniProtKB:P14415,1-290
UniProtKB:P14416,1-443
UniProtKB:P14543,?-1247
UniProtKB:P14543,29-?
UniProtKB:P14543,29-1247
UniProtKB:P14550,2-325
UniProtKB:P14555,21-144
UniProtKB:P14598,1-390
UniProtKB:P14598,1-390,Ser-303/Ser-304/Ser-320/Ser-328/Ser-345/Ser-348,MOD:00046
UniProtKB:P14618,2-531
UniProtKB:P14618-1,2-531
UniProtKB:P14618-2,2-531
UniProtKB:P14625,22-803
UniProtKB:P14625,22-803,XXX-null,MOD:00696
UniProtKB:P14635,1-433,Ser-126/Ser-128/Ser-133/Ser-144,MOD:00046
UniProtKB:P14635,1-433
UniProtKB:P14649,1-208,Ser-20,MOD:00046
UniProtKB:P14649,1-208
UniProtKB:P14651,1-431
UniProtKB:P14652,1-356
UniProtKB:P14653,1-301
UniProtKB:P14672,1-509
UniProtKB:P14678,1-240
UniProtKB:P14678,1-240,XXX-108/XXX-112,MOD:00076
UniProtKB:P14679,19-529
UniProtKB:P14735,1-1019,Lys-null,MOD:01148
UniProtKB:P14735,1-1019
UniProtKB:P14770,17-177
UniProtKB:P14778,18-569
UniProtKB:P14780,20-59
UniProtKB:P14780,20-106
UniProtKB:P14780,20-707
UniProtKB:P14780,60-106
UniProtKB:P14780,60-707
UniProtKB:P14780,107-707
UniProtKB:P14784,27-551
UniProtKB:P14784,27-551,Tyr-null,MOD:00048
UniProtKB:P14784,27-551,Tyr-364/Tyr-418/Tyr-536,MOD:00048
UniProtKB:P14854,2-86
UniProtKB:P14859,1-743
UniProtKB:P14866,1-589
UniProtKB:P14867,28-456
UniProtKB:P14868,1-501
UniProtKB:P14902,1-403
